"key","name","voters","valid","valid_percentage","invalid","votes"
"563000","Fürth, krfr. St",85150,12050,"14,20",8,12058
"564000","Nürnberg, krfr. St",349511,50931,"14,60",55,50986
"565000","Schwabach, krfr. St",29720,5795,"19,50",13,5808
"571000","Ansbach",139556,21520,"15,40",104,21624
"572000","Erlangen-Höchstadt",102218,20402,"20,00",36,20438
"573000","Fürth",90366,17773,"19,70",51,17824
"574000","Nürnberger Land",128948,24878,"19,30",30,24908
"575000","Neustadt a.d.Aisch-Bad Windsheim",77344,12296,"15,90",79,12375
"576000","Roth",96821,16367,"16,90",21,16388
"577000","Weißenburg-Gunzenhausen",72425,11902,"16,40",25,11927
"661000","Aschaffenburg, krfr. St",49946,4884,"9,80",43,4927
"662000","Schweinfurt, krfr. St",39331,5660,"14,40",5,5665
"663000","Würzburg, krfr. St",99974,18779,"18,80",46,18825
"671000","Aschaffenburg",133802,16101,"12,00",150,16251
"672000","Bad Kissingen",84570,13801,"16,30",41,13842
"673000","Rhön-Grabfeld",64920,10630,"16,40",60,10690
"674000","Haßberge",68295,11900,"17,40",43,11943
"675000","Kitzingen",69352,10002,"14,40",86,10088
"676000","Miltenberg",96038,12477,"13,00",96,12573
"677000","Main-Spessart",101173,16744,"16,50",59,16803
"678000","Schweinfurt",91425,16995,"18,60",74,17069
"679000","Würzburg",126305,22248,"17,60",71,22319
"761000","Augsburg, krfr. St",186710,24178,"12,90",28,24206
"762000","Kaufbeuren, krfr. St",31423,4505,"14,30",4,4509
"763000","Kempten (Allgäu), krfr. St",47885,6473,"13,50",41,6514
"764000","Memmingen, krfr. St",29840,3929,"13,20",21,3950
"771000","Aichach-Friedberg",98050,13521,"13,80",43,13564
"772000","Augsburg",183947,28838,"15,70",130,28968
"773000","Dillingen a.d.Donau",72007,8617,"12,00",211,8828
"774000","Günzburg",89009,11708,"13,20",28,11736
"775000","Neu-Ulm",121503,10478,"8,60",21,10499
"776000","Lindau (Bodensee)",58507,6178,"10,60",20,6198
"777000","Ostallgäu",102985,14381,"14,00",53,14434
"778000","Unterallgäu",105248,13128,"12,50",27,13155
"779000","Donau-Ries",99454,13002,"13,10",78,13080
"780000","Oberallgäu",116435,14199,"12,20",41,14240
