"key","name","voters","valid","valid_percentage","invalid","votes"
"471000","Bamberg",115555,4170,"3,60",9,4179
"472000","Bayreuth",85077,3016,"3,50",9,3025
"473000","Coburg",70636,1519,"2,20",3,1522
"474000","Forchheim",89490,3177,"3,60",10,3187
"475000","Hof",78979,1438,"1,80",2,1440
"476000","Kronach",56481,1260,"2,20",5,1265
"477000","Kulmbach",60260,1698,"2,80",12,1710
"478000","Lichtenfels",54531,1930,"3,50",6,1936
"479000","Wunsiedel i.Fichtelgebirge",60213,998,"1,70",0,998
"561000","Ansbach, krfr. St",31180,991,"3,20",2,993
"562000","Erlangen, krfr. St",76636,2912,"3,80",3,2915
"563000","Fürth, krfr. St",85771,1810,"2,10",1,1811
"564000","Nürnberg, krfr. St",347270,9029,"2,60",29,9058
"565000","Schwabach, krfr. St",29953,1323,"4,40",2,1325
"571000","Ansbach",139612,4776,"3,40",18,4794
"572000","Erlangen-Höchstadt",102509,3755,"3,70",15,3770
"573000","Fürth",90645,3476,"3,80",5,3481
"574000","Nürnberger Land",128958,4133,"3,20",13,4146
"575000","Neustadt a.d.Aisch-Bad Windsheim",77320,2829,"3,70",11,2840
"576000","Roth",97049,3615,"3,70",1,3616
"577000","Weißenburg-Gunzenhausen",72372,2072,"2,90",8,2080
"661000","Aschaffenburg, krfr. St",49572,1332,"2,70",1,1333
"662000","Schweinfurt, krfr. St",38771,1942,"5,00",5,1947
"663000","Würzburg, krfr. St",99164,4544,"4,60",3,4547
"671000","Aschaffenburg",133569,4634,"3,50",17,4651
"672000","Bad Kissingen",84205,2862,"3,40",10,2872
"673000","Rhön-Grabfeld",64649,1640,"2,50",11,1651
"674000","Haßberge",68288,2669,"3,90",17,2686
"675000","Kitzingen",69492,3032,"4,40",38,3070
"676000","Miltenberg",95986,2995,"3,10",10,3005
"677000","Main-Spessart",100857,4591,"4,60",18,4609
"678000","Schweinfurt",91638,4792,"5,20",12,4804
"679000","Würzburg",126703,6616,"5,20",15,6631
"761000","Augsburg, krfr. St",187435,3381,"1,80",3,3384
"762000","Kaufbeuren, krfr. St",31292,476,"1,50",3,479
"763000","Kempten (Allgäu), krfr. St",48071,722,"1,50",6,728
"764000","Memmingen, krfr. St",29737,518,"1,70",0,518
"771000","Aichach-Friedberg",98738,2158,"2,20",8,2166
"772000","Augsburg",185065,3809,"2,10",7,3816
"773000","Dillingen a.d.Donau",72117,959,"1,30",4,963
"774000","Günzburg",89199,2101,"2,40",5,2106
"775000","Neu-Ulm",121879,1532,"1,30",5,1537
"776000","Lindau (Bodensee)",58659,1257,"2,10",2,1259
"777000","Ostallgäu",103469,1965,"1,90",8,1973
"778000","Unterallgäu",106229,1709,"1,60",4,1713
"779000","Donau-Ries",99719,1709,"1,70",6,1715
"780000","Oberallgäu",116891,2415,"2,10",9,2424
