Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Macken,Gemeinde,7137215,Rheinland-Pfalz
Mackenbach,Gemeinde,7335024,Rheinland-Pfalz
Mackenrode,Gemeinde,16061068,Thüringen 
Mackenrodt,Gemeinde,7134052,Rheinland-Pfalz
Magdala,Stadt,16071053,Thüringen 
Magdeburg,Stadt,15003000,Sachsen-Anhalt
Magstadt,Gemeinde,8115029,Baden-Württemberg
Mahlberg,Stadt,8317073,Baden-Württemberg
Mahlstetten,Gemeinde,8327033,Baden-Württemberg
Mähren,Gemeinde,7143502,Rheinland-Pfalz
Mähring,Gemeinde,9377139,Bayern
Maierhöfen,Gemeinde,9776118,Bayern
Maihingen,Gemeinde,9779176,Bayern
Maikammer,Gemeinde,7337052,Rheinland-Pfalz
Mainaschaff,Gemeinde,9671140,Bayern
Mainbernheim,Stadt,9675144,Bayern
Mainburg,Stadt,9273147,Bayern
Mainhardt,Gemeinde,8127052,Baden-Württemberg
Mainhausen,Gemeinde,6438007,Hessen
Mainleus,Gemeinde,9477136,Bayern
Mainstockheim,Gemeinde,9675146,Bayern
Maintal,Stadt,6435019,Hessen
Mainz,Stadt,7315000,Rheinland-Pfalz
Maisach,Gemeinde,9179134,Bayern
Maisborn,Gemeinde,7140089,Rheinland-Pfalz
Maitenbeth,Gemeinde,9183126,Bayern
Maitzborn,Gemeinde,7140090,Rheinland-Pfalz
Malberg,Gemeinde,7132066,Rheinland-Pfalz
Malberg,Gemeinde,7232075,Rheinland-Pfalz
Malbergweich,Gemeinde,7232076,Rheinland-Pfalz
Malborn,Gemeinde,7231079,Rheinland-Pfalz
Malchin,Stadt,13071092,Mecklenburg-Vorpommern
Malching,Gemeinde,9275132,Bayern
Malchow,Stadt,13071093,Mecklenburg-Vorpommern
Malente,Gemeinde,1055028,Schleswig-Holstein
Malgersdorf,Gemeinde,9277131,Bayern
Malk Göhren,Gemeinde,13076093,Mecklenburg-Vorpommern
Mallersdorf-Pfaffenberg,Gemeinde,9278148,Bayern
Malliß,Gemeinde,13076094,Mecklenburg-Vorpommern
Malsburg-Marzell,Gemeinde,8336104,Baden-Württemberg
Malsch,Gemeinde,8215046,Baden-Württemberg
Malsch,Gemeinde,8226046,Baden-Württemberg
Malschwitz,Gemeinde,14625340,Sachsen
Malsfeld,Gemeinde,6634013,Hessen
Malterdingen,Gemeinde,8316024,Baden-Württemberg
Mammelzen,Gemeinde,7132067,Rheinland-Pfalz
Mammendorf,Gemeinde,9179136,Bayern
Mamming,Gemeinde,9279125,Bayern
Manching,Gemeinde,9186137,Bayern
Mandel,Gemeinde,7133061,Rheinland-Pfalz
Mandelbachtal,Gemeinde,10045116,Saarland
Mandern,Gemeinde,7235081,Rheinland-Pfalz
Manderscheid,Stadt,7231080,Rheinland-Pfalz
Manderscheid,Gemeinde,7232264,Rheinland-Pfalz
Manhagen,Gemeinde,1055029,Schleswig-Holstein
Mannebach,Gemeinde,7233225,Rheinland-Pfalz
Mannebach,Gemeinde,7235082,Rheinland-Pfalz
Mannheim,Stadt,8222000,Baden-Württemberg
Mannstedt,Gemeinde,16068035,Thüringen 
Mannweiler-Cölln,Gemeinde,7333043,Rheinland-Pfalz
Mansfeld,Stadt,15087275,Sachsen-Anhalt
Mantel,Gemeinde,9374134,Bayern
Manteler Forst,Gemeindefreies Gebiet,9374452,Bayern
Manubach,Gemeinde,7339036,Rheinland-Pfalz
Marbach am Neckar,Stadt,8118049,Baden-Württemberg
Marburg,Stadt,6534014,Hessen
March,Gemeinde,8315132,Baden-Württemberg
Margetshöchheim,Gemeinde,9679161,Bayern
Mariaposching,Gemeinde,9278149,Bayern
Marienberg,Stadt,14521390,Sachsen
Marienfels,Gemeinde,7141084,Rheinland-Pfalz
Marienfließ,Gemeinde,12070266,Brandenburg
Marienhafe,Gemeinde,3452017,Niedersachsen
Marienhagen,Gemeinde,3254039,Niedersachsen
Marienhausen,Gemeinde,7138201,Rheinland-Pfalz
Marienheide,Gemeinde,5374024,Nordrhein-Westfalen
Marienmünster,Stadt,5762024,Nordrhein-Westfalen
Marienrachdorf,Gemeinde,7143044,Rheinland-Pfalz
Mariental,Gemeinde,3154015,Niedersachsen
Mariental,Gemeindefreies Gebiet,3154504,Niedersachsen
Marienwerder,Gemeinde,12060154,Brandenburg
Maring-Noviand,Gemeinde,7231081,Rheinland-Pfalz
Marisfeld,Gemeinde,16069028,Thüringen 
Mark,Gemeindefreies Gebiet,9572459,Bayern
Mark Landin,Gemeinde,12073386,Brandenburg
Markdorf,Stadt,8435034,Baden-Württemberg
Markersdorf,Gemeinde,14626300,Sachsen
Markgröningen,Stadt,8118050,Baden-Württemberg
Märkisch Buchholz,Stadt,12061328,Brandenburg
Märkisch Linden,Gemeinde,12068306,Brandenburg
Märkisch Luch,Gemeinde,12063186,Brandenburg
Märkische Heide,Gemeinde,12061329,Brandenburg
Märkische Höhe,Gemeinde,12064303,Brandenburg
Markkleeberg,Stadt,14729260,Sachsen
Marklkofen,Gemeinde,9279126,Bayern
Marklohe,Gemeinde,3256021,Niedersachsen
Markneukirchen,Stadt,14523200,Sachsen
Markranstädt,Stadt,14729270,Sachsen
Marksuhl,Gemeinde,16063052,Thüringen 
Markt Berolzheim,Gemeinde,9577149,Bayern
Markt Bibart,Gemeinde,9575144,Bayern
Markt Einersheim,Gemeinde,9675148,Bayern
Markt Erlbach,Gemeinde,9575145,Bayern
Markt Indersdorf,Gemeinde,9174131,Bayern
Markt Nordheim,Gemeinde,9575146,Bayern
Markt Rettenbach,Gemeinde,9778168,Bayern
Markt Schwaben,Gemeinde,9175127,Bayern
Markt Taschendorf,Gemeinde,9575147,Bayern
Markt Wald,Gemeinde,9778169,Bayern
Marktbergel,Gemeinde,9575143,Bayern
Marktbreit,Stadt,9675147,Bayern
Marktgraitz,Gemeinde,9478143,Bayern
Marktheidenfeld,Stadt,9677157,Bayern
Marktl,Gemeinde,9171123,Bayern
Marktleugast,Gemeinde,9477138,Bayern
Marktleuthen,Stadt,9479135,Bayern
Marktoberdorf,Stadt,9777151,Bayern
Marktoffingen,Gemeinde,9779177,Bayern
Marktredwitz,Stadt,9479136,Bayern
Marktrodach,Gemeinde,9476183,Bayern
Marktschellenberg,Gemeinde,9172124,Bayern
Marktschorgast,Gemeinde,9477139,Bayern
Marktsteft,Stadt,9675149,Bayern
Marktzeuln,Gemeinde,9478144,Bayern
Markvippach,Gemeinde,16068036,Thüringen 
Marl,Gemeinde,3251025,Niedersachsen
Marl,Stadt,5562024,Nordrhein-Westfalen
Marloffstein,Gemeinde,9572141,Bayern
Marlow,Stadt,13073055,Mecklenburg-Vorpommern
Marne,Stadt,1051072,Schleswig-Holstein
Marnerdeich,Gemeinde,1051073,Schleswig-Holstein
Marnheim,Gemeinde,7333045,Rheinland-Pfalz
Marnitz,Gemeinde,13076095,Mecklenburg-Vorpommern
Maroldsweisach,Gemeinde,9674171,Bayern
Marolterode,Gemeinde,16064043,Thüringen 
Maroth,Gemeinde,7143045,Rheinland-Pfalz
Marpingen,Gemeinde,10046112,Saarland
Marquartstein,Gemeinde,9189129,Bayern
Marsberg,Stadt,5958024,Nordrhein-Westfalen
Marschacht,Gemeinde,3353023,Niedersachsen
Martensrade,Gemeinde,1057050,Schleswig-Holstein
Martfeld,Gemeinde,3251026,Niedersachsen
Marth,Gemeinde,16061069,Thüringen 
Martinlamitzer Forst-Nord,Gemeindefreies Gebiet,9475454,Bayern
Martinlamitzer Forst-Süd,Gemeindefreies Gebiet,9479455,Bayern
Martinroda,Gemeinde,16070034,Thüringen 
Martinsheim,Gemeinde,9675150,Bayern
Martinshöhe,Gemeinde,7335203,Rheinland-Pfalz
Martinstein,Gemeinde,7133062,Rheinland-Pfalz
Marxen,Gemeinde,3353024,Niedersachsen
Marxheim,Gemeinde,9779178,Bayern
Marxzell,Gemeinde,8215047,Baden-Württemberg
Marzhausen,Gemeinde,7143261,Rheinland-Pfalz
Marzling,Gemeinde,9178140,Bayern
Masburg,Gemeinde,7135058,Rheinland-Pfalz
Maselheim,Gemeinde,8426071,Baden-Württemberg
Maßbach,Gemeinde,9672131,Bayern
Massenbachhausen,Gemeinde,8125061,Baden-Württemberg
Massen-Niederlausitz,Gemeinde,12062333,Brandenburg
Masserberg,Gemeinde,16069061,Thüringen 
Massing,Gemeinde,9277133,Bayern
Massow,Gemeinde,13071095,Mecklenburg-Vorpommern
Maßweiler,Gemeinde,7340217,Rheinland-Pfalz
Mastershausen,Gemeinde,7140204,Rheinland-Pfalz
Masthorn,Gemeinde,7232265,Rheinland-Pfalz
Matzenbach,Gemeinde,7336107,Rheinland-Pfalz
Matzerath,Gemeinde,7232266,Rheinland-Pfalz
Mauchenheim,Gemeinde,7331044,Rheinland-Pfalz
Mauden,Gemeinde,7132068,Rheinland-Pfalz
Mauel,Gemeinde,7232267,Rheinland-Pfalz
Mauer,Gemeinde,8226048,Baden-Württemberg
Mauern,Gemeinde,9178142,Bayern
Mauerstetten,Gemeinde,9777152,Bayern
Maulbronn,Stadt,8236038,Baden-Württemberg
Maulburg,Gemeinde,8336057,Baden-Württemberg
Mauschbach,Gemeinde,7340218,Rheinland-Pfalz
Mauth,Gemeinde,9272134,Bayern
Mauther Forst,Gemeindefreies Gebiet,9272456,Bayern
Maxdorf,Gemeinde,7338018,Rheinland-Pfalz
Maxhütte-Haidhof,Stadt,9376141,Bayern
Maxsain,Gemeinde,7143046,Rheinland-Pfalz
Mayen,Stadt,7137068,Rheinland-Pfalz
Mayschoß,Gemeinde,7131049,Rheinland-Pfalz
Mechelroda,Gemeinde,16071055,Thüringen 
Mechernich,Stadt,5366028,Nordrhein-Westfalen
Mechow,Gemeinde,1053088,Schleswig-Holstein
Mechtersen,Gemeinde,3355023,Niedersachsen
Meckel,Gemeinde,7232077,Rheinland-Pfalz
Meckenbach,Gemeinde,7133063,Rheinland-Pfalz
Meckenbach,Gemeinde,7134053,Rheinland-Pfalz
Meckenbeuren,Gemeinde,8435035,Baden-Württemberg
Meckenheim,Stadt,5382032,Nordrhein-Westfalen
Meckenheim,Gemeinde,7332035,Rheinland-Pfalz
Meckesheim,Gemeinde,8226049,Baden-Württemberg
Medard,Gemeinde,7336061,Rheinland-Pfalz
Meddersheim,Gemeinde,7133064,Rheinland-Pfalz
Meddewade,Gemeinde,1062046,Schleswig-Holstein
Medebach,Stadt,5958028,Nordrhein-Westfalen
Medelby,Gemeinde,1059143,Schleswig-Holstein
Medlingen,Gemeinde,9773153,Bayern
Medow,Gemeinde,13075088,Mecklenburg-Vorpommern
Meeder,Gemeinde,9473144,Bayern
Meerane,Stadt,14524190,Sachsen
Meerbeck,Gemeinde,3257023,Niedersachsen
Meerbusch,Stadt,5162022,Nordrhein-Westfalen
Meerfeld,Gemeinde,7231082,Rheinland-Pfalz
Meersburg,Stadt,8435036,Baden-Württemberg
Meesiger,Gemeinde,13071096,Mecklenburg-Vorpommern
Meezen,Gemeinde,1058103,Schleswig-Holstein
Megesheim,Gemeinde,9779180,Bayern
Meggerdorf,Gemeinde,1059058,Schleswig-Holstein
Mehlbach,Gemeinde,7335025,Rheinland-Pfalz
Mehlbek,Gemeinde,1061067,Schleswig-Holstein
Mehlingen,Gemeinde,7335026,Rheinland-Pfalz
Mehlmeisel,Gemeinde,9472164,Bayern
Mehmels,Gemeinde,16066041,Thüringen 
Mehna,Gemeinde,16077031,Thüringen 
Mehren,Gemeinde,7132069,Rheinland-Pfalz
Mehren,Gemeinde,7233042,Rheinland-Pfalz
Mehring,Gemeinde,7235083,Rheinland-Pfalz
Mehring,Gemeinde,9171124,Bayern
Mehrstetten,Gemeinde,8415048,Baden-Württemberg
Meierhöfer Seite,Gemeindefreies Gebiet,9479456,Bayern
Meiersberg,Gemeinde,13075089,Mecklenburg-Vorpommern
Meinborn,Gemeinde,7138042,Rheinland-Pfalz
Meine,Gemeinde,3151016,Niedersachsen
Meinersen,Gemeinde,3151017,Niedersachsen
Meinerzhagen,Stadt,5962036,Nordrhein-Westfalen
Meineweh,Gemeinde,15084013,Sachsen-Anhalt
Meinhard,Gemeinde,6636007,Hessen
Meinheim,Gemeinde,9577150,Bayern
Meiningen,Stadt,16066042,Thüringen 
Meisburg,Gemeinde,7233043,Rheinland-Pfalz
Meisenheim,Stadt,7133065,Rheinland-Pfalz
Meißen,Stadt,14627140,Sachsen
Meißenheim,Gemeinde,8317075,Baden-Württemberg
Meißner,Gemeinde,6636008,Hessen
Meitingen,Gemeinde,9772177,Bayern
Melbeck,Gemeinde,3355024,Niedersachsen
Melchow,Gemeinde,12060161,Brandenburg
Meldorf,Stadt,1051074,Schleswig-Holstein
Melle,Stadt,3459024,Niedersachsen
Mellenbach-Glasbach,Gemeinde,16073054,Thüringen 
Mellenthin,Gemeinde,13075090,Mecklenburg-Vorpommern
Mellingen,Gemeinde,16071056,Thüringen 
Mellinghausen,Gemeinde,3251027,Niedersachsen
Mellrichstadt,Stadt,9673142,Bayern
Mellrichstadter Forst,Gemeindefreies Gebiet,9673455,Bayern
Melpers,Gemeinde,16066043,Thüringen 
Melsbach,Gemeinde,7138043,Rheinland-Pfalz
Melsdorf,Gemeinde,1058104,Schleswig-Holstein
Melsungen,Stadt,6634014,Hessen
Melz,Gemeinde,13071097,Mecklenburg-Vorpommern
Memmelsdorf,Gemeinde,9471159,Bayern
Memmingen,Stadt,9764000,Bayern
Memmingerberg,Gemeinde,9778171,Bayern
Menden (Sauerland),Stadt,5962040,Nordrhein-Westfalen
Mendig,Stadt,7137069,Rheinland-Pfalz
Mengen,Stadt,8437076,Baden-Württemberg
Mengerschied,Gemeinde,7140092,Rheinland-Pfalz
Mengerskirchen,Gemeinde,6533011,Hessen
Mengkofen,Gemeinde,9279127,Bayern
Menningen,Gemeinde,7232078,Rheinland-Pfalz
Menslage,Gemeinde,3459025,Niedersachsen
Menteroda,Gemeinde,16064072,Thüringen 
Menzendorf,Gemeinde,13074052,Mecklenburg-Vorpommern
Meppen,Stadt,3454035,Niedersachsen
Merching,Gemeinde,9771145,Bayern
Merchweiler,Gemeinde,10043113,Saarland
Merdingen,Gemeinde,8315072,Baden-Württemberg
Merenberg,Gemeinde,6533012,Hessen
Mering,Gemeinde,9771146,Bayern
Merkelbach,Gemeinde,7143262,Rheinland-Pfalz
Merkendorf,Stadt,9571177,Bayern
Merklingen,Gemeinde,8425079,Baden-Württemberg
Merlscheid,Gemeinde,7232270,Rheinland-Pfalz
Mermuth,Gemeinde,7140093,Rheinland-Pfalz
Merschbach,Gemeinde,7231083,Rheinland-Pfalz
Merseburg,Stadt,15088220,Sachsen-Anhalt
Mertendorf,Gemeinde,15084335,Sachsen-Anhalt
Mertendorf,Gemeinde,16074055,Thüringen 
Mertesdorf,Gemeinde,7235085,Rheinland-Pfalz
Mertesheim,Gemeinde,7332036,Rheinland-Pfalz
Mertingen,Gemeinde,9779181,Bayern
Mertloch,Gemeinde,7137070,Rheinland-Pfalz
Merxhausen,Gemeindefreies Gebiet,3255506,Niedersachsen
Merxheim,Gemeinde,7133066,Rheinland-Pfalz
Merzalben,Gemeinde,7340031,Rheinland-Pfalz
Merzdorf,Gemeinde,12062336,Brandenburg
Merzen,Gemeinde,3459026,Niedersachsen
Merzenich,Gemeinde,5358040,Nordrhein-Westfalen
Merzhausen,Gemeinde,8315073,Baden-Württemberg
Merzig,Stadt,10042113,Saarland
Merzkirchen,Gemeinde,7235154,Rheinland-Pfalz
Merzweiler,Gemeinde,7336062,Rheinland-Pfalz
Meschede,Stadt,5958032,Nordrhein-Westfalen
Mescherin,Gemeinde,12073393,Brandenburg
Mesekenhagen,Gemeinde,13075091,Mecklenburg-Vorpommern
Mesenich,Gemeinde,7135060,Rheinland-Pfalz
Mespelbrunn,Gemeinde,9671141,Bayern
Messel,Gemeinde,6432012,Hessen
Messenkamp,Gemeinde,3257024,Niedersachsen
Messerich,Gemeinde,7232079,Rheinland-Pfalz
Messingen,Gemeinde,3454036,Niedersachsen
Meßkirch,Stadt,8437078,Baden-Württemberg
Meßstetten,Stadt,8417044,Baden-Württemberg
Mestlin,Gemeinde,13076096,Mecklenburg-Vorpommern
Metelen,Gemeinde,5566052,Nordrhein-Westfalen
Metelsdorf,Gemeinde,13074053,Mecklenburg-Vorpommern
Metten,Gemeinde,9271132,Bayern
Mettendorf,Gemeinde,7232080,Rheinland-Pfalz
Mettenheim,Gemeinde,7331045,Rheinland-Pfalz
Mettenheim,Gemeinde,9183127,Bayern
Metterich,Gemeinde,7232081,Rheinland-Pfalz
Mettingen,Gemeinde,5566056,Nordrhein-Westfalen
Mettlach,Gemeinde,10042114,Saarland
Mettmann,Stadt,5158024,Nordrhein-Westfalen
Mettweiler,Gemeinde,7134054,Rheinland-Pfalz
Metzels,Gemeinde,16066044,Thüringen 
Metzenhausen,Gemeinde,7140094,Rheinland-Pfalz
Metzingen,Stadt,8415050,Baden-Württemberg
Meudt,Gemeinde,7143263,Rheinland-Pfalz
Meura,Gemeinde,16073055,Thüringen 
Meusebach,Gemeinde,16074056,Thüringen 
Meuselbach-Schwarzmühle,Gemeinde,16073056,Thüringen 
Meuselwitz,Stadt,16077032,Thüringen 
Meuspath,Gemeinde,7131050,Rheinland-Pfalz
Meyenburg,Stadt,12070280,Brandenburg
Meyn,Gemeinde,1059144,Schleswig-Holstein
Michelau i. OFr.,Gemeinde,9478145,Bayern
Michelau i. Steigerwald,Gemeinde,9678157,Bayern
Michelbach,Gemeinde,7140095,Rheinland-Pfalz
Michelbach (Westerwald),Gemeinde,7132070,Rheinland-Pfalz
Michelbach an der Bilz,Gemeinde,8127056,Baden-Württemberg
Michelbuch,Gemeindefreies Gebiet,6431200,Hessen
Michelfeld,Gemeinde,8127059,Baden-Württemberg
Michelsneukirchen,Gemeinde,9372142,Bayern
Michelstadt,Stadt,6437011,Hessen
Michendorf,Gemeinde,12069397,Brandenburg
Mickhausen,Gemeinde,9772178,Bayern
Middelhagen,Gemeinde,13073056,Mecklenburg-Vorpommern
Midlum,Gemeinde,1054083,Schleswig-Holstein
Miehlen,Gemeinde,7141085,Rheinland-Pfalz
Mielkendorf,Gemeinde,1058105,Schleswig-Holstein
Miellen,Gemeinde,7141086,Rheinland-Pfalz
Miesbach,Stadt,9182125,Bayern
Miesitz,Gemeinde,16075065,Thüringen 
Mietingen,Gemeinde,8426073,Baden-Württemberg
Mihla,Gemeinde,16063055,Thüringen 
Milda,Gemeinde,16074057,Thüringen 
Mildenau,Gemeinde,14521400,Sachsen
Mildstedt,Gemeinde,1054084,Schleswig-Holstein
Millienhagen-Oebelitz,Gemeinde,13073057,Mecklenburg-Vorpommern
Milmersdorf,Gemeinde,12073396,Brandenburg
Milow,Gemeinde,13076097,Mecklenburg-Vorpommern
Milower Land,Gemeinde,12063189,Brandenburg
Miltach,Gemeinde,9372143,Bayern
Miltenberg,Stadt,9676139,Bayern
Mindelheim,Stadt,9778173,Bayern
Mindelstetten,Gemeinde,9176147,Bayern
Minden,Stadt,5770024,Nordrhein-Westfalen
Minden,Gemeinde,7232082,Rheinland-Pfalz
Minderlittgen,Gemeinde,7231085,Rheinland-Pfalz
Minfeld,Gemeinde,7334020,Rheinland-Pfalz
Minheim,Gemeinde,7231086,Rheinland-Pfalz
Mintraching,Gemeinde,9375170,Bayern
Mirow,Stadt,13071099,Mecklenburg-Vorpommern
Misselberg,Gemeinde,7141087,Rheinland-Pfalz
Missen-Wilhams,Gemeinde,9780127,Bayern
Mistelbach,Gemeinde,9472166,Bayern
Mistelgau,Gemeinde,9472167,Bayern
Mistorf,Gemeinde,13072071,Mecklenburg-Vorpommern
Mittelangeln,Gemeinde,1059185,Schleswig-Holstein
Mittelbiberach,Gemeinde,8426074,Baden-Württemberg
Mittelbrunn,Gemeinde,7335027,Rheinland-Pfalz
Mitteleschenbach,Gemeinde,9571178,Bayern
Mittelfischbach,Gemeinde,7141088,Rheinland-Pfalz
Mittelherwigsdorf,Gemeinde,14626310,Sachsen
Mittelhof,Gemeinde,7132011,Rheinland-Pfalz
Mittelneufnach,Gemeinde,9772179,Bayern
Mittelnkirchen,Gemeinde,3359032,Niedersachsen
Mittelpöllnitz,Gemeinde,16075066,Thüringen 
Mittelreidenbach,Gemeinde,7134055,Rheinland-Pfalz
Mittelsinn,Gemeinde,9677159,Bayern
Mittelsömmern,Gemeinde,16064045,Thüringen 
Mittelstenahe,Gemeinde,3352036,Niedersachsen
Mittelstetten,Gemeinde,9179137,Bayern
Mittelstrimmig,Gemeinde,7135061,Rheinland-Pfalz
Mittenaar,Gemeinde,6532017,Hessen
Mittenwald,Gemeinde,9180123,Bayern
Mittenwalde,Stadt,12061332,Brandenburg
Mittenwalde,Gemeinde,12073404,Brandenburg
Mitterfels,Gemeinde,9278151,Bayern
Mitterskirchen,Gemeinde,9277134,Bayern
Mitterteich,Stadt,9377141,Bayern
Mittweida,Stadt,14522360,Sachsen
Mitwitz,Gemeinde,9476154,Bayern
Mixdorf,Gemeinde,12067324,Brandenburg
Mochau,Gemeinde,14522370,Sachsen
Möckern,Stadt,15086140,Sachsen-Anhalt
Möckern,Gemeinde,16074058,Thüringen 
Möckmühl,Stadt,8125063,Baden-Württemberg
Mockrehna,Gemeinde,14730190,Sachsen
Modautal,Gemeinde,6432013,Hessen
Mödingen,Gemeinde,9773147,Bayern
Moers,Stadt,5170024,Nordrhein-Westfalen
Mogendorf,Gemeinde,7143047,Rheinland-Pfalz
Mögglingen,Gemeinde,8136043,Baden-Württemberg
Möglingen,Gemeinde,8118051,Baden-Württemberg
Mohlsdorf-Teichwolframsdorf,Gemeinde,16076093,Thüringen 
Möhnesee,Gemeinde,5974032,Nordrhein-Westfalen
Möhnsen,Gemeinde,1053089,Schleswig-Holstein
Möhrendorf,Gemeinde,9572142,Bayern
Mohrkirch,Gemeinde,1059060,Schleswig-Holstein
Moisburg,Gemeinde,3353025,Niedersachsen
Molauer Land,Gemeinde,15084341,Sachsen-Anhalt
Molbergen,Gemeinde,3453012,Niedersachsen
Molfsee,Gemeinde,1058107,Schleswig-Holstein
Möllenbeck,Gemeinde,13071100,Mecklenburg-Vorpommern
Möllenbeck,Gemeinde,13076098,Mecklenburg-Vorpommern
Möllenhagen,Gemeinde,13071101,Mecklenburg-Vorpommern
Mölln,Stadt,1053090,Schleswig-Holstein
Mölln,Gemeinde,13071102,Mecklenburg-Vorpommern
Molsberg,Gemeinde,7143266,Rheinland-Pfalz
Molschleben,Gemeinde,16067047,Thüringen 
Mölschow,Gemeinde,13075092,Mecklenburg-Vorpommern
Mölsheim,Gemeinde,7331046,Rheinland-Pfalz
Moltzow,Gemeinde,13071103,Mecklenburg-Vorpommern
Molzhain,Gemeinde,7132071,Rheinland-Pfalz
Mömbris,Gemeinde,9671143,Bayern
Mömlingen,Gemeinde,9676140,Bayern
Mommenheim,Gemeinde,7339037,Rheinland-Pfalz
Mönchberg,Gemeinde,9676141,Bayern
Mönchengladbach,Stadt,5116000,Nordrhein-Westfalen
Mönchenholzhausen,Gemeinde,16071057,Thüringen 
Mönchhagen,Gemeinde,13072072,Mecklenburg-Vorpommern
Mönchpfiffel-Nikolausrieth,Gemeinde,16065046,Thüringen 
Mönchsdeggingen,Gemeinde,9779184,Bayern
Mönchsroth,Gemeinde,9571179,Bayern
Mönchweiler,Gemeinde,8326037,Baden-Württemberg
Monheim,Stadt,9779186,Bayern
Monheim am Rhein,Stadt,5158026,Nordrhein-Westfalen
Mönkeberg,Gemeinde,1057051,Schleswig-Holstein
Mönkebude,Gemeinde,13075093,Mecklenburg-Vorpommern
Mönkhagen,Gemeinde,1062048,Schleswig-Holstein
Mönkloh,Gemeinde,1060056,Schleswig-Holstein
Monreal,Gemeinde,7137074,Rheinland-Pfalz
Monschau,Stadt,5334020,Nordrhein-Westfalen
Monsheim,Gemeinde,7331048,Rheinland-Pfalz
Mönsheim,Gemeinde,8236039,Baden-Württemberg
Monstab,Gemeinde,16077034,Thüringen 
Montabaur,Stadt,7143048,Rheinland-Pfalz
Möntenich,Gemeinde,7135062,Rheinland-Pfalz
Monzelfeld,Gemeinde,7231087,Rheinland-Pfalz
Monzernheim,Gemeinde,7331049,Rheinland-Pfalz
Monzingen,Gemeinde,7133067,Rheinland-Pfalz
Moordiek,Gemeinde,1061068,Schleswig-Holstein
Moorenweis,Gemeinde,9179138,Bayern
Moorgrund,Gemeinde,16063094,Thüringen 
Moorhusen,Gemeinde,1061070,Schleswig-Holstein
Moormerland,Gemeinde,3457014,Niedersachsen
Moorrege,Gemeinde,1056036,Schleswig-Holstein
Moorweg,Gemeinde,3462008,Niedersachsen
Moos,Gemeinde,8335055,Baden-Württemberg
Moos,Gemeinde,9271135,Bayern
Moosach,Gemeinde,9175128,Bayern
Moosbach,Gemeinde,9374137,Bayern
Moosburg,Gemeinde,8426078,Baden-Württemberg
Moosburg a.d. Isar,Stadt,9178143,Bayern
Moosinning,Gemeinde,9177130,Bayern
Moosthenning,Gemeinde,9279128,Bayern
Moraas,Gemeinde,13076099,Mecklenburg-Vorpommern
Morbach,Gemeinde,7231502,Rheinland-Pfalz
Mörel,Gemeinde,1058106,Schleswig-Holstein
Mörfelden-Walldorf,Stadt,6433008,Hessen
Moringen,Stadt,3155009,Niedersachsen
Moritzburg,Gemeinde,14627150,Sachsen
Moritzheim,Gemeinde,7135064,Rheinland-Pfalz
Mörlen,Gemeinde,7143264,Rheinland-Pfalz
Mörlenbach,Gemeinde,6431017,Hessen
Mörnsheim,Gemeinde,9176148,Bayern
Morsbach,Gemeinde,5374028,Nordrhein-Westfalen
Mörsbach,Gemeinde,7143265,Rheinland-Pfalz
Mörschbach,Gemeinde,7140096,Rheinland-Pfalz
Morscheid,Gemeinde,7235090,Rheinland-Pfalz
Morschen,Gemeinde,6634015,Hessen
Morschheim,Gemeinde,7333047,Rheinland-Pfalz
Mörschied,Gemeinde,7134056,Rheinland-Pfalz
Mörsdorf,Gemeinde,7140503,Rheinland-Pfalz
Mörsdorf,Gemeinde,16074059,Thüringen 
Mörsfeld,Gemeinde,7333046,Rheinland-Pfalz
Morshausen,Gemeinde,7140205,Rheinland-Pfalz
Mörstadt,Gemeinde,7331047,Rheinland-Pfalz
Mosbach,Stadt,8225058,Baden-Württemberg
Mosbruch,Gemeinde,7233226,Rheinland-Pfalz
Moschheim,Gemeinde,7143049,Rheinland-Pfalz
Moselkern,Gemeinde,7135065,Rheinland-Pfalz
Möser,Gemeinde,15086145,Sachsen-Anhalt
Mossautal,Gemeinde,6437012,Hessen
Moßbach,Gemeinde,16075068,Thüringen 
Mössingen,Stadt,8416025,Baden-Württemberg
Motten,Gemeinde,9672134,Bayern
Mottener Forst-Süd,Gemeindefreies Gebiet,9672461,Bayern
Möttingen,Gemeinde,9779185,Bayern
Mötzing,Gemeinde,9375171,Bayern
Mötzingen,Gemeinde,8115034,Baden-Württemberg
Moxa,Gemeinde,16075069,Thüringen 
Mözen,Gemeinde,1060057,Schleswig-Holstein
Much,Gemeinde,5382036,Nordrhein-Westfalen
Mucheln,Gemeinde,1057052,Schleswig-Holstein
Mücheln (Geiseltal),Stadt,15088235,Sachsen-Anhalt
Muchow,Gemeinde,13076100,Mecklenburg-Vorpommern
Mücka,Gemeinde,14626320,Sachsen
Mücke,Gemeinde,6535013,Hessen
Mückeln,Gemeinde,7233046,Rheinland-Pfalz
Mudau,Gemeinde,8225060,Baden-Württemberg
Müden (Aller),Gemeinde,3151018,Niedersachsen
Müden (Mosel),Gemeinde,7135066,Rheinland-Pfalz
Mudenbach,Gemeinde,7143267,Rheinland-Pfalz
Mudersbach,Gemeinde,7132072,Rheinland-Pfalz
Mudershausen,Gemeinde,7141089,Rheinland-Pfalz
Mügeln,Stadt,14730200,Sachsen
Muggensturm,Gemeinde,8216033,Baden-Württemberg
