Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Goosefeld,Gemeinde,1058102,Schleswig-Holstein
Göpfersdorf,Gemeinde,16077011,Thüringen 
Göppingen,Stadt,8117026,Baden-Württemberg
Gorden-Staupitz,Gemeinde,12062177,Brandenburg
Görgeshausen,Gemeinde,7143023,Rheinland-Pfalz
Görisried,Gemeinde,9777131,Bayern
Göritz,Gemeinde,12073216,Brandenburg
Görkwitz,Gemeinde,16075033,Thüringen 
Gorleben,Gemeinde,3354007,Niedersachsen
Görlitz,Stadt,14626110,Sachsen
Gorlosen,Gemeinde,13076049,Mecklenburg-Vorpommern
Görmin,Gemeinde,13075036,Mecklenburg-Vorpommern
Gornau/Erzgeb.,Gemeinde,14521220,Sachsen
Gornhausen,Gemeinde,7231040,Rheinland-Pfalz
Gornsdorf,Gemeinde,14521230,Sachsen
Görsbach,Gemeinde,16062008,Thüringen 
Gorsleben,Gemeinde,16065022,Thüringen 
Görwihl,Gemeinde,8337038,Baden-Württemberg
Gorxheimertal,Gemeinde,6431008,Hessen
Görzke,Gemeinde,12069224,Brandenburg
Göschitz,Gemeinde,16075034,Thüringen 
Goseck,Gemeinde,15084170,Sachsen-Anhalt
Gösen,Gemeinde,16074025,Thüringen 
Gosen-Neu Zittau,Gemeinde,12067173,Brandenburg
Gösenroth,Gemeinde,7134030,Rheinland-Pfalz
Gosheim,Gemeinde,8327019,Baden-Württemberg
Goslar,Stadt,3153017,Niedersachsen
Gossel,Gemeinde,16070023,Thüringen 
Gössenheim,Gemeinde,9677132,Bayern
Gossersweiler-Stein,Gemeinde,7337033,Rheinland-Pfalz
Gössitz,Gemeinde,16075035,Thüringen 
Gößnitz,Stadt,16077012,Thüringen 
Gößweinstein,Gemeinde,9474129,Bayern
Gotha,Stadt,16067029,Thüringen 
Gottenheim,Gemeinde,8315043,Baden-Württemberg
Gottesgabe,Gemeinde,13074024,Mecklenburg-Vorpommern
Gotteszell,Gemeinde,9276123,Bayern
Gottfrieding,Gemeinde,9279116,Bayern
Gotthun,Gemeinde,13071045,Mecklenburg-Vorpommern
Göttin,Gemeinde,1053035,Schleswig-Holstein
Göttingen,Stadt,3152012,Niedersachsen
Gottmadingen,Gemeinde,8335028,Baden-Württemberg
Graach an der Mosel,Gemeinde,7231041,Rheinland-Pfalz
Graal-Müritz,Gemeinde,13072036,Mecklenburg-Vorpommern
Grabau,Gemeinde,1053036,Schleswig-Holstein
Grabau,Gemeinde,1062019,Schleswig-Holstein
Graben,Gemeinde,9772149,Bayern
Gräben,Gemeinde,12069232,Brandenburg
Graben-Neudorf,Gemeinde,8215099,Baden-Württemberg
Grabenstätt,Gemeinde,9189119,Bayern
Grabenstetten,Gemeinde,8415028,Baden-Württemberg
Grabfeld,Gemeinde,16066094,Thüringen 
