"key","name","voters","valid","valid_percentage"
174135,"Odelzhausen",3544,700,"19,8"
174136,"Petershausen",4738,1131,"23,9"
174137,"Pfaffenhofen a.d.Glonn",1562,275,"17,6"
174141,"Röhrmoos",4472,1211,"27,1"
174143,"Schwabhausen",4736,1250,"26,4"
174146,"Sulzemoos",2137,365,"17,1"
174147,"Hilgertshausen-Tandern",2530,522,"20,6"
174150,"Vierkirchen",3353,917,"27,3"
174151,"Weichs",2531,668,"26,4"
175111,"Anzing",3108,622,"20,0"
175112,"Aßling",3421,721,"21,1"
175113,"Baiern",1108,175,"15,8"
175114,"Bruck",961,170,"17,7"
175115,"Ebersberg, St",8745,2151,"24,6"
175116,"Egmating",1697,336,"19,8"
175118,"Forstinning",2756,609,"22,1"
175119,"Frauenneuharting",1167,152,"13,0"
175121,"Glonn, M",3606,921,"25,5"
175122,"Grafing b.München, St",10016,2632,"26,3"
175123,"Hohenlinden",2293,445,"19,4"
175124,"Kirchseeon, M",6833,1571,"23,0"
175127,"Markt Schwaben, M",8761,1918,"21,9"
175128,"Moosach",1127,278,"24,7"
175131,"Oberpframmern",1787,314,"17,6"
175132,"Vaterstetten",16519,3787,"22,9"
175133,"Pliening",4018,838,"20,9"
175135,"Poing",10278,2407,"23,4"
175136,"Emmering",1168,159,"13,6"
175137,"Steinhöring",3036,453,"14,9"
175139,"Zorneding",6827,1864,"27,3"
176111,"Adelschlag",2328,259,"11,1"
176112,"Altmannstein, M",5322,662,"12,4"
176114,"Beilngries, St",7176,952,"13,3"
176116,"Böhmfeld",1279,215,"16,8"
176118,"Buxheim",2765,490,"17,7"
176120,"Denkendorf",3400,400,"11,8"
176121,"Dollnstein, M",2120,348,"16,4"
176122,"Egweil",939,179,"19,1"
176123,"Eichstätt, GKSt",9908,2167,"21,9"
176124,"Eitensheim",2188,340,"15,5"
176126,"Gaimersheim, M",8967,1692,"18,9"
176129,"Großmehring",5175,631,"12,2"
176131,"Hepberg",2041,262,"12,8"
176132,"Hitzhofen",2227,379,"17,0"
176137,"Kinding, M",1963,220,"11,2"
176138,"Kipfenberg, M",4133,652,"15,8"
176139,"Kösching, M",7070,1241,"17,6"
176143,"Lenting",3578,566,"15,8"
176147,"Mindelstetten",1328,205,"15,4"
176148,"Mörnsheim, M",1167,185,"15,9"
176149,"Nassenfels, M",1647,242,"14,7"
176150,"Oberdolling",1027,131,"12,8"
176153,"Pförring, M",2899,424,"14,6"
176155,"Pollenfeld",2157,274,"12,7"
